"","announcement","name","mat_sec","mean","sd","iqr","max","min"
"48","QE2b","gilt_ois_spread_t+1_change","untargeted_short",-0.02175,0.0130814754519511,0.00925,-0.0125,-0.031
"49","QE3a","gilt_ois_spread_COB_change","long",0.0354,NA,0,0.0354,0.0354
"50","QE3a","gilt_ois_spread_COB_change","medium",0.00699999999999997,0.0117579760163049,0.0117500000000001,0.0185,-0.0050000000000001
"51","QE3a","gilt_ois_spread_COB_change","short",-0.0302666666666666,0.0229398052883338,0.0360250000000001,-0.0012000000000001,-0.0555
"52","QE3a","gilt_ois_spread_COB_change","untargeted_short",-0.0275,0.00919238815542512,0.0065,-0.021,-0.034
"53","QE3a","gilt_ois_spread_t+1_change","long",0.0165,NA,0,0.0165,0.0165
"54","QE3a","gilt_ois_spread_t+1_change","medium",-0.00233333333333333,0.0109609914393422,0.0109,0.00790000000000002,-0.0139
"55","QE3a","gilt_ois_spread_t+1_change","short",-0.0593833333333333,0.0319314526238106,0.0469,-0.0149000000000002,-0.095
"56","QE3a","gilt_ois_spread_t+1_change","untargeted_short",-0.0365,0.0197989898732233,0.014,-0.0225,-0.0505
"57","QE4a","gilt_ois_spread_COB_change","long",-0.0765,0.00866025403784439,0.00750000000000001,-0.0665,-0.0815
"58","QE4a","gilt_ois_spread_COB_change","medium",-0.0815,0.0122882057274445,0.0115,-0.0675,-0.0905
"59","QE4a","gilt_ois_spread_COB_change","short",-0.085625,0.0197795138126969,0.022625,-0.059,-0.103
"60","QE4a","gilt_ois_spread_COB_change","untargeted_short",-0.034,0.014142135623731,0.01,-0.024,-0.044
"61","QE4a","gilt_ois_spread_t+1_change","long",-0.107333333333333,0.0115902257671425,0.0105,-0.094,-0.115
"62","QE4a","gilt_ois_spread_t+1_change","medium",-0.0928333333333333,0.0107857931249089,0.00999999999999998,-0.0805,-0.1005
"63","QE4a","gilt_ois_spread_t+1_change","short",-0.090625,0.0255257223208277,0.020625,-0.053,-0.107
"64","QE4a","gilt_ois_spread_t+1_change","untargeted_short",-0.02,0.00848528137423857,0.006,-0.014,-0.026
"65","QE5a","gilt_ois_spread_COB_change","long",-0.0348125,0.0146528936277674,0.0219875,-0.02105,-0.0511
"66","QE5a","gilt_ois_spread_COB_change","medium",0.0181,0.0291713043931875,0.0477,0.0451000000000001,-0.01025
"67","QE5a","gilt_ois_spread_COB_change","short",-0.03305,0.0314194737914774,0.02665,-0.0069,-0.0781
"68","QE5a","gilt_ois_spread_COB_change","untargeted_short",-0.13935,0.00926309883354377,0.00655,-0.1328,-0.1459
"69","QE5a","gilt_ois_spread_t+1_change","long",-0.1983,0.0351341476818968,0.0534500000000001,-0.1685,-0.23845
"70","QE5a","gilt_ois_spread_t+1_change","medium",-0.0935575,0.0363409396090232,0.0526925000000001,-0.0539299999999999,-0.1309
"71","QE5a","gilt_ois_spread_t+1_change","short",-0.1559625,0.0391482518766803,0.0459625,-0.1193,-0.2073
"72","QE5a","gilt_ois_spread_t+1_change","untargeted_short",-0.1541,0.0125865007051206,0.00889999999999999,-0.1452,-0.163
"73","QE5b","gilt_ois_spread_COB_change","long",0.055825,0.00234289706702336,0.00152499999999998,0.058,0.0525
"74","QE5b","gilt_ois_spread_COB_change","medium",0.0257375,0.00719205290581208,0.0040875,0.0365,0.0215
"75","QE5b","gilt_ois_spread_COB_change","short",0.0164125,0.00345889553663208,0.00353749999999999,0.0209,0.01275
"76","QE5b","gilt_ois_spread_COB_change","untargeted_short",0.0105,0.00919238815542512,0.0065,0.017,0.004
"77","QE5b","gilt_ois_spread_t+1_change","long",0.0595,0.00315066130624453,0.00444999999999997,0.0632,0.0565000000000001
"78","QE5b","gilt_ois_spread_t+1_change","medium",0.0335675,0.00778568504800102,0.00851749999999999,0.04442,0.0276
"79","QE5b","gilt_ois_spread_t+1_change","short",0.0231875,0.00332625289677939,0.0023875,0.028,0.0204
"80","QE5b","gilt_ois_spread_t+1_change","untargeted_short",0.011645,0.0105429621074914,0.007455,0.0191,0.00419
"81","QE5c","gilt_ois_spread_COB_change","long",0.0200275,0.00338695905890029,0.00414250000000001,0.02299,0.01557
"82","QE5c","gilt_ois_spread_COB_change","medium",0.01375,0.00412833299690484,0.00306,0.017,0.00772999999999999
"83","QE5c","gilt_ois_spread_COB_change","short",0.0135125,0.0022657357156856,0.00176750000000001,0.0165,0.01102
"84","QE5c","gilt_ois_spread_COB_change","untargeted_short",0.012375,0.00866205806953521,0.006125,0.0185,0.00625
"85","QE5c","gilt_ois_spread_t+1_change","long",0.03077,0.00665639041322951,0.00847500000000004,0.03789,0.02289
"86","QE5c","gilt_ois_spread_t+1_change","medium",0.01888,0.00633705504683892,0.00646999999999999,0.02775,0.01363
"87","QE5c","gilt_ois_spread_t+1_change","short",0.012,0.00478609095887935,0.00429999999999999,0.0186,0.0074
"88","QE5c","gilt_ois_spread_t+1_change","untargeted_short",0.005125,0.0268347023460295,0.018975,0.0241,-0.01385
