operation_date,ISIN,proceeds_offers,proceeds_purchases,nominal_purchases,tail,res_mat,maturity,cuml_nom_purch,issue_date,cumulative_total_in_issue,percent_of_freefloat,bid_cover,YLD_YTM_MID,YLD_BID_ASK,date_dif,1DCHNG_YIELD_BID_ASK,1DCHNG_date_dif,1DCHNG_EOD_YIELD_BID_ASK,1DCHNG_EOD_date_dif,prog
2009-03-25,GB00B39R3F84,709.6,529.9,482.7,0.15,9.949349760438055,2019-03-07,902.0999999999999,2009-03-11,15953,0.05654735786372469,1.339120588790338,3.278,0.0050000000000003375,0,-4.440892098500626e-16,2,0,1,QE1
2009-03-30,GB00B058DQ55,891.5,539.9,479,0.18,10.937713894592745,2020-03-07,780,2009-01-30,16618,0.04693705620411602,1.6512317095758475,3.372,0.006999999999999673,0,-0.001000000000000334,4,-0.001000000000000334,3,QE1
2009-03-30,GB0009997999,837.6,83,56,0.07,12.188911704312115,2021-06-07,1493.8000000000002,2009-01-21,22686,0.06584677774839108,10.09156626506024,3.397,0.005999999999999783,0,4.440892098500626e-16,4,0,3,QE1
2009-03-30,GB00B16NNR78,721.4,381.5,364,0.24,18.688569472963724,2027-12-07,1350,2009-01-21,18679,0.07227367632100219,1.8909567496723458,3.972,0.006000000000000227,0,0,4,0,3,QE1
2009-03-30,GB0002404191,629.7,239.8,185.1,0.33,19.690622861054074,2028-12-07,405.1,2009-01-21,15931.662,0.025427353404811125,2.625938281901585,3.963,0.004999999999999893,0,0,4,0,3,QE1
2009-03-30,GB00B24FF097,662,384.4,344,0.23,21.689253935660506,2030-12-07,704,2009-01-21,16540,0.04256348246674728,1.7221644120707598,4.033,0.004999999999999893,0,0,4,0,3,QE1
2009-03-30,GB0004893086,380.1,154.9,148,0.17,23.189596167008897,2032-06-07,347,2009-01-21,22368.218,0.015513081998753767,2.4538411878631377,4.027,0.004999999999999893,0,0,4,0,3,QE1
2009-03-30,GB0030880693,963.1,716.5,633,0.24,15.937029431895962,2025-03-07,633,2009-03-18,22099,0.02864383003755826,1.3441730635031404,3.899,0.006000000000000227,0,0,4,4.440892098500626e-16,3,QE1
2009-04-01,GB0031829509,1016,847.5,743,0.25,5.434633812457221,2014-09-07,2354,2009-01-21,17686,0.1330996268234762,1.1988200589970501,2.287,0.008999999999999897,0,0,2,0,1,QE1
2009-04-01,GB0008881541,1079.9,771.5,567,0.49,6.683093771389459,2015-12-07,1916,2009-01-21,9997.897,0.19164030195550122,1.3997407647440052,2.505,0.007000000000000117,0,-4.440892098500626e-16,2,0,1,QE1
2009-04-01,GB00B0V3WX43,790.8,731,669.8,0.55,7.436002737850787,2016-09-07,1293.8,2009-01-21,21827,0.05927520960278554,1.0818057455540355,2.655,0.006999999999999673,0,-4.440892098500626e-16,2,-4.440892098500626e-16,1,QE1
2009-04-01,GB0008931148,451,356.8,246,0.2,8.399726214921287,2017-08-25,911,2009-01-21,10502,0.086745381832032,1.2640134529147982,2.813,0.004999999999999893,0,9.999999999998899e-4,2,0,1,QE1
2009-04-01,GB00B1VWPC84,1022.6,793.1,678,0.46,8.930869267624914,2018-03-07,2049.7,2009-01-21,22388,0.09155351080936215,1.2893708233514058,2.9,0.006000000000000227,0,4.440892098500626e-16,2,4.440892098500626e-16,1,QE1
2009-04-06,GB00B058DQ55,1625.5,0,0,0,10.91854893908282,2020-03-07,780,2009-01-30,16618,0.04693705620411602,Inf,3.575,0.007000000000000117,0,0,4,-9.999999999998899e-4,3,QE1
2009-04-06,GB0009997999,4263.1,2050.2,1401.6,0.04,12.16974674880219,2021-06-07,2895.4,2009-01-21,22686,0.12762937494489995,2.079358111403766,3.583,0.005999999999999783,0,4.440892098500626e-16,4,0,3,QE1
2009-04-06,GB00B16NNR78,458.3,17.4,17,0,18.6694045174538,2027-12-07,1367,2009-01-21,18679,0.07318378928208148,26.339080459770116,4.242,0.006000000000000227,0,8.881784197001252e-16,4,8.881784197001252e-16,3,QE1
2009-04-06,GB0002404191,650.4,74.7,59,0,19.67145790554415,2028-12-07,464.1,2009-01-21,15931.662,0.0291306707360475,8.706827309236948,4.218,0.004999999999999893,0,8.881784197001252e-16,4,0,3,QE1
2009-04-06,GB00B24FF097,909,245.6,225,0.09,21.67008898015058,2030-12-07,929,2009-01-21,16540,0.056166868198307136,3.70114006514658,4.272,0.004999999999999893,0,0,4,0,3,QE1
2009-04-06,GB0004893086,380.5,0,0,0,23.170431211498972,2032-06-07,347,2009-01-21,22368.218,0.015513081998753767,Inf,4.242,0.004999999999999893,0,-0.001000000000000334,4,-0.001000000000000334,3,QE1
2009-04-06,GB0030880693,837.3,112,101,0.02,15.917864476386036,2025-03-07,734,2009-03-18,22099,0.03321417258699488,7.475892857142857,4.158,0.005999999999999339,0,0,4,-8.881784197001252e-16,3,QE1
2009-04-08,GB0031829509,1482.6,862.3,765,0.27,5.415468856947296,2014-09-07,3119,2009-01-21,17686,0.17635417844622867,1.7193552128029688,2.512,0.008999999999999897,0,0,2,0,1,QE1
2009-04-08,GB0033280339,1366.8,873.7,781,0.32,6.414784394250513,2015-09-07,1312,2009-04-02,24968,0.05254726049343159,1.5643813666018083,2.761,0.008999999999999897,0,-9.999999999998899e-4,2,0,1,QE1
2009-04-08,GB0008881541,218.5,117,87,0.3,6.663928815879535,2015-12-07,2003,2009-01-21,9997.897,0.20034213195034914,1.8675213675213675,2.716,0.007000000000000117,0,4.440892098500626e-16,2,4.440892098500626e-16,1,QE1
2009-04-08,GB00B0V3WX43,469.9,176.8,164,0.24,7.416837782340862,2016-09-07,1457.8,2009-01-21,21827,0.06678883951069776,2.6578054298642533,2.852,0.008000000000000007,0,0.001000000000000334,2,0.001000000000000334,1,QE1
2009-04-08,GB0008931148,396.5,288.4,202,0.26,8.380561259411362,2017-08-25,1113,2009-01-21,10502,0.10597981336888211,1.3748266296809988,3.047,0.004999999999999893,0,0.001000000000000334,2,0,1,QE1
2009-04-08,GB00B1VWPC84,2621.5,1181.7,1029.5,0.31,8.91170431211499,2018-03-07,3079.2,2009-01-21,22388,0.13753796676791138,2.2184141491072182,3.128,0.005999999999999783,0,4.440892098500626e-16,2,0,1,QE1
